¿Cuáles crees que son las razones más comunes de las desapariciones?,,,¿Crees que las desapariciones son más comunes en zonas marginales,,,¿Por qué crees que también suceden en zonas urbanas?,,,¿Crees que la falta de economía puede llevar a una desaparición voluntaria?,,,¿Consideras que la violencia intrafamiliar puede provocar que una persona huya de su hogar?,,,¿Crees que ser testigo de un acto peligroso o ilegal puede ser causa de una desaparición?,,,¿Crees que la necesidad económica influye en que las personas caigan en ofertas de trabajo falsas o reclutamiento forzado?,,,¿Piensas que hablar públicamente sobre las desapariciones puede traer consecuencias?,,,¿Crees que la inseguridad tiene relación con las desapariciones?,,,¿Consideras que la trata de personas es una de las principales causas de desaparición?,,,¿Crees que si el gobierno apoyara más a los grupos de búsqueda sería más eficaz localizar personas desaparecidas?,,,¿Las manifestaciones y protestas han ayudado a generar mayor apoyo y visibilidad?,,,¿Crees que algunas desapariciones ocurren por confusiones relacionadas con el narcotráfico?,,,¿Consideras que las adicciones y las deudas relacionadas con ellas pueden influir en una desaparición?,,,¿Piensas que tener una buena economía puede convertir a alguien en objetivo de una desaparición forzada?,,
Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%,Opción,Frecuencia,%
Reclutamiento forzado,34,70.83,Si,28,58.33,Por la inseguridad,5,10.87,Si,33,68.75,Si,30,63.83,Si,37,77.08,Si,37,77.08,Si,23,47.92,Mucha relación,40,83.33,Si,30,63.83,Si,33,68.75,Si,19,39.58,Si,28,58.33,Si,37,77.08,Si,23,48.94
Narcotráfico,26,54.17,No estoy seguro/a,16,33.33,Por la economía,3,6.52,Tal vez,15,31.25,En algunos casos,18,38.3,Posiblemente,12,25,A veces,12,25,Depende la situación,22,45.83,Poca relación,7,14.58,No estoy seguro/a,12,25.53,Tal vez,14,29.17,Poco,17,35.42,Posiblemente,19,39.58,En algunos casos,8,16.67,Probablemente,2,4.26
Trata de personas,22,45.83,No,4,8.33,Falta de seguridad,2,4.35,No,1,2.08,,,,No,1,2.08,No,1,2.08,No,3,6.25,Ninguna relación,1,2.08,No,5,10.64,No,1,2.08,No,12,25,No,1,2.08,No,3,6.25,A veces,2,4.26
Problemas familiares,20,41.67,,,,por la falta de seguridad,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,totalmente,1,2.13
Violencia,16,33.33,,,,Por que facilita el anonimato y la presencia de rutas del crimen organizado,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Posiblemente,1,2.13
Corridos tumbados,1,2.08,,,,Por el narcotráfico y el reclutamiento tanto voluntario como forzado,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si puede ser par una extorsión,1,2.13
Por los alucines,1,2.08,,,,Por ser gente de dinero,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yo pienso que si,1,2.13
Problemas familiares por qué si alguien tiene problemas en su casa puede salírse de su casa por enojo y la roban por estar sola o solo en la calle en la noche,1,2.08,,,,Descuidos,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Absolutamente si,1,2.13
,,,,,,Por la maña,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Es independiente,1,2.13
,,,,,,Porque quieren pertenecer al crimen organizado,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si porque te pueden extorsionar,1,2.13
,,,,,,Por problemas con algo o alguien,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"No,eso depende de muchas cosas",1,2.13
,,,,,,Los reclutadores están por todos lados,1,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Es posible,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si es probable ya que se presta para pedir rescate y para no ser denunciados los matan.,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Claramente son objetivos mas comunes, las personas con negocios o mejor economía, aunque los causantes de las desapariciones forzadas",1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Si, lo pueden secuestrar por dinero",1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,si,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No estoy muy segura,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Depende la situación,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sii,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si soy un buen objetivo,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Si totalmente,1,2.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No creo,1,2.13
